experiment,model,corpus,policy,required,evaluation,map_sha256
corruption,llama8b,c4,corruption_near_pool01_p075,True,new_gpu_full,1cba324327b8ddc87dff808a79a1d8f27186284af0f45afe6cc46f8a6a0ae59b
corruption,llama8b,c4,corruption_near_pool01_p100,True,new_gpu_full,90e8599e90dc1fa8f451b5f5b45e74b4179d600ff2324c42bcb947f0968d5662
corruption,llama8b,c4,corruption_near_pool02_p010,True,new_gpu_full,f6b765032e7e7d806addca9d30da4677e86eaae2f72e5849324e9a0f9ad3a270
corruption,llama8b,c4,corruption_near_pool02_p025,True,new_gpu_full,2f640c6b166193ba015de076b47c829f851316aaf0dc3d14853ac78540976760
corruption,llama8b,c4,corruption_near_pool02_p050,True,new_gpu_full,5f84e5741ef67d6b33cde2dfaf57aee82079e44d63938ae8de896da03b476735
corruption,llama8b,c4,corruption_near_pool02_p075,True,new_gpu_full,3b2bc91d7332303f15366106f8ad1001b25b2df073007f030a267532250721cc
corruption,llama8b,c4,corruption_near_pool02_p100,True,new_gpu_full,80660269df26cbc14dd38c64d13a09b7350d092f5474fd4b5f4eb6c32d1da4f6
corruption,llama8b,c4,corruption_near_pool03_p010,True,new_gpu_full,a2a9f1bca11661af82927ae45fc2730121fc3ceae00b3fe7c10436e14da09baa
corruption,llama8b,c4,corruption_near_pool03_p025,True,new_gpu_full,5537eea987a490b21745c5cfc6dc7f152714b189f4afe430683c862b007bdc74
corruption,llama8b,c4,corruption_near_pool03_p050,True,new_gpu_full,730719d0c0bdffca93b26cfd6fc590843fc90e3eba7f64d4ec94ce2cdc635bac
corruption,llama8b,c4,corruption_near_pool03_p075,True,new_gpu_full,5b25e69fbc30c15a6cf8b3995200f5d4d02fb272bf6038c6004941fd73f8b548
corruption,llama8b,c4,corruption_near_pool03_p100,True,new_gpu_full,6776b2d898aa846a765cef377660bed13922e26e857d7ef8594cb9625961fa9b
corruption,llama8b,c4,corruption_near_pool04_p010,True,new_gpu_full,aae024565c1d4c9dbf5c14a47dbb0bc4d6ca39bad4174b5b5c814e344bc4cbee
corruption,llama8b,c4,corruption_near_pool04_p025,True,new_gpu_full,6479edefe714269fa1445af6344d9f9306bd44d9e616209ac535cf3e4c86aecc
corruption,llama8b,c4,corruption_near_pool04_p050,True,new_gpu_full,8c85e5dd2a6530f903bfe03788b30603891bb48674804001fb34765ab2274934
corruption,llama8b,c4,corruption_near_pool04_p075,True,new_gpu_full,e8e31bb1d359db667687f6077d0fe061b60803ff780fb3064d81064f8476f987
corruption,llama8b,c4,corruption_near_pool04_p100,True,new_gpu_full,03b7deba6f7abf18bfd6a1d8c49db416c1596e4548d8c841acc6f2658b195252
corruption,llama8b,c4,corruption_random_pool01_p050,True,new_gpu_full,6131275c4a3c29cfe61ae23b46cb390aa000549cc5e2bff475b8a762a7396f06
corruption,llama8b,c4,corruption_random_pool02_p050,True,new_gpu_full,c4f3e4fba14a0f601d0cbecd470d0e136fdb3b6b2f58cf4607ff62079816eaf5
corruption,llama8b,c4,corruption_random_pool03_p050,True,new_gpu_full,ef7bdaea5e2271d996c1ecabae3acf851f6f11c7185e52cd011b1e60b6c4de33
corruption,llama8b,c4,corruption_random_pool04_p050,True,new_gpu_full,82e724b3f47b856ec581b3b2df741965632c41cdccb8a4eafb10e87113e54b62
